date_of_interest,case_count,hospitalized_count
2020-02-29,1,1
2020-03-01,0,1
2020-03-02,0,2
2020-03-03,1,7
2020-03-04,5,2
2020-03-05,3,14
2020-03-06,8,8
2020-03-07,7,8
2020-03-08,21,18
2020-03-09,57,37
2020-03-10,69,60
2020-03-11,155,78
2020-03-12,355,106
2020-03-13,619,152
2020-03-14,642,177
2020-03-15,1034,210
2020-03-16,2121,338
2020-03-17,2451,385
2020-03-18,2971,494
2020-03-19,3706,631
2020-03-20,4007,738
2020-03-21,2639,734
2020-03-22,2580,773
2020-03-23,3570,1131
2020-03-24,4497,1301
2020-03-25,4873,1434
2020-03-26,5044,1535
2020-03-27,5119,1585
2020-03-28,3478,1394
2020-03-29,3560,1509
2020-03-30,6129,1858
2020-03-31,5458,1816
2020-04-01,5448,1768
2020-04-02,5746,1684
2020-04-03,5670,1712
2020-04-04,3866,1460
2020-04-05,3782,1406
2020-04-06,6353,1750
2020-04-07,6044,1590
2020-04-08,5574,1559
2020-04-09,5070,1353
2020-04-10,4510,1293
2020-04-11,3732,1048
2020-04-12,2887,951
2020-04-13,3311,1156
2020-04-14,4144,984
2020-04-15,3876,866
2020-04-16,3530,782
2020-04-17,3586,789
2020-04-18,2172,584
2020-04-19,2343,536
2020-04-20,3792,641
2020-04-21,3061,587
2020-04-22,3446,519
2020-04-23,2841,448
2020-04-24,2535,474
2020-04-25,1595,327
2020-04-26,1003,307
2020-04-27,2290,370
2020-04-28,2726,356
2020-04-29,2339,313
2020-04-30,2021,254
2020-05-01,1886,263
2020-05-02,1058,208
2020-05-03,787,216
2020-05-04,1549,240
2020-05-05,1512,213
2020-05-06,1397,213
2020-05-07,1238,176
2020-05-08,1079,166
2020-05-09,657,123
2020-05-10,457,105
2020-05-11,1231,180
2020-05-12,1285,113
2020-05-13,1333,130
2020-05-14,1111,142
2020-05-15,873,128
2020-05-16,485,91
2020-05-17,360,80
2020-05-18,894,111
2020-05-19,1002,114
2020-05-20,1077,80
2020-05-21,1069,83
2020-05-22,1036,102
2020-05-23,455,74
2020-05-24,467,86
2020-05-25,464,79
2020-05-26,1050,76
2020-05-27,740,75
2020-05-28,646,79
2020-05-29,638,84
2020-05-30,346,54
2020-05-31,230,60
2020-06-01,686,81
2020-06-02,570,64
2020-06-03,515,73
2020-06-04,517,75
2020-06-05,402,53
2020-06-06,247,42
2020-06-07,197,54
2020-06-08,447,60
2020-06-09,419,65
2020-06-10,363,65
2020-06-11,363,49
2020-06-12,409,52
2020-06-13,196,35
2020-06-14,180,47
2020-06-15,380,52
2020-06-16,419,61
2020-06-17,356,49
2020-06-18,378,56
2020-06-19,361,45
2020-06-20,203,25
2020-06-21,172,44
2020-06-22,402,48
2020-06-23,381,44
2020-06-24,381,52
2020-06-25,298,43
2020-06-26,317,33
2020-06-27,206,43
2020-06-28,201,32
2020-06-29,437,47
2020-06-30,442,45
2020-07-01,396,39
2020-07-02,416,45
2020-07-03,233,30
2020-07-04,120,30
2020-07-05,155,29
2020-07-06,431,54
2020-07-07,461,47
2020-07-08,437,34
2020-07-09,391,46
2020-07-10,307,45
2020-07-11,259,34
2020-07-12,223,26
2020-07-13,483,49
2020-07-14,403,43
2020-07-15,440,44
2020-07-16,411,34
2020-07-17,413,50
2020-07-18,216,26
2020-07-19,175,38
2020-07-20,404,38
2020-07-21,341,24
2020-07-22,328,40
2020-07-23,309,33
2020-07-24,299,40
2020-07-25,153,35
2020-07-26,140,25
2020-07-27,313,38
2020-07-28,313,38
2020-07-29,287,30
2020-07-30,274,37
2020-07-31,262,34
2020-08-01,189,27
2020-08-02,135,33
2020-08-03,348,40
2020-08-04,187,32
2020-08-05,298,38
2020-08-06,288,34
2020-08-07,255,23
2020-08-08,160,21
2020-08-09,133,26
2020-08-10,312,41
2020-08-11,263,25
2020-08-12,320,31
2020-08-13,276,39
2020-08-14,277,38
2020-08-15,151,23
2020-08-16,140,21
2020-08-17,333,33
2020-08-18,283,39
2020-08-19,257,35
2020-08-20,227,37
2020-08-21,252,31
2020-08-22,136,27
2020-08-23,150,23
2020-08-24,297,36
2020-08-25,283,40
2020-08-26,313,28
2020-08-27,274,31
2020-08-28,280,22
2020-08-29,128,22
2020-08-30,186,20
2020-08-31,315,42
2020-09-01,294,21
2020-09-02,271,29
2020-09-03,273,18
2020-09-04,229,31
2020-09-05,156,22
2020-09-06,207,31
2020-09-07,217,19
2020-09-08,393,26
2020-09-09,353,31
2020-09-10,323,25
2020-09-11,313,32
2020-09-12,202,11
2020-09-13,263,17
2020-09-14,461,32
2020-09-15,414,29
2020-09-16,456,46
2020-09-17,441,34
2020-09-18,292,37
2020-09-19,218,21
2020-09-20,220,24
2020-09-21,558,29
2020-09-22,497,34
2020-09-23,612,38
2020-09-24,542,42
2020-09-25,463,46
2020-09-26,280,26
2020-09-27,382,37
2020-09-28,437,38
2020-09-29,723,50
2020-09-30,606,51
2020-10-01,705,41
2020-10-02,605,49
2020-10-03,299,25
2020-10-04,335,44
2020-10-05,766,55
2020-10-06,571,48
2020-10-07,541,46
2020-10-08,526,47
2020-10-09,524,55
2020-10-10,314,38
2020-10-11,281,49
2020-10-12,515,52
2020-10-13,588,50
2020-10-14,583,58
2020-10-15,603,74
2020-10-16,504,48
2020-10-17,366,35
2020-10-18,412,40
2020-10-19,626,69
2020-10-20,601,74
2020-10-21,654,52
2020-10-22,759,53
2020-10-23,601,60
2020-10-24,386,47
2020-10-25,362,44
2020-10-26,695,56
2020-10-27,742,46
2020-10-28,782,45
2020-10-29,621,59
2020-10-30,654,60
2020-10-31,403,48
2020-11-01,501,55
2020-11-02,953,64
2020-11-03,903,75
2020-11-04,1113,69
2020-11-05,1139,85
2020-11-06,1037,64
2020-11-07,845,60
2020-11-08,788,65
2020-11-09,1545,80
2020-11-10,1598,89
2020-11-11,1539,99
2020-11-12,1502,80
2020-11-13,1494,92
2020-11-14,1025,101
2020-11-15,896,92
2020-11-16,1832,127
2020-11-17,1730,102
2020-11-18,1753,120
2020-11-19,1857,132
2020-11-20,1773,135
2020-11-21,1290,119
2020-11-22,1148,116
2020-11-23,2317,150
2020-11-24,2074,131
2020-11-25,2371,141
2020-11-26,817,156
2020-11-27,2299,158
2020-11-28,1840,127
2020-11-29,1891,163
2020-11-30,2895,188
2020-12-01,3308,200
2020-12-02,3130,176
2020-12-03,2945,218
2020-12-04,2817,182
2020-12-05,1887,178
2020-12-06,1754,173
2020-12-07,3304,222
2020-12-08,3060,220
2020-12-09,3105,278
2020-12-10,3149,246
2020-12-11,2977,244
2020-12-12,2206,209
2020-12-13,2177,227
2020-12-14,3582,266
2020-12-15,3681,238
2020-12-16,2788,214
2020-12-17,1927,231
2020-12-18,3427,274
2020-12-19,2557,239
2020-12-20,2346,246
2020-12-21,4339,331
2020-12-22,4104,287
2020-12-23,3843,303
2020-12-24,3016,276
2020-12-25,1046,267
2020-12-26,3454,264
2020-12-27,2888,241
2020-12-28,5392,356
2020-12-29,5206,324
2020-12-30,4983,316
2020-12-31,3390,287
2021-01-01,1340,297
2021-01-02,4200,325
2021-01-03,3464,300
2021-01-04,6609,411
2021-01-05,6153,353
2021-01-06,5692,381
2021-01-07,5449,359
2021-01-08,5305,355
2021-01-09,3693,331
2021-01-10,3197,310
2021-01-11,5921,403
2021-01-12,5241,397
2021-01-13,5184,428
2021-01-14,5264,430
2021-01-15,4845,390
2021-01-16,3481,373
2021-01-17,2919,338
2021-01-18,4646,444
2021-01-19,5140,391
2021-01-20,4909,372
2021-01-21,4942,416
2021-01-22,4715,429
2021-01-23,3462,324
2021-01-24,2927,334
2021-01-25,5808,403
2021-01-26,4861,369
2021-01-27,5003,426
2021-01-28,4778,391
2021-01-29,3667,408
2021-01-30,2875,272
2021-01-31,2894,303
2021-02-01,977,289
2021-02-02,2660,401
2021-02-03,5144,436
2021-02-04,4831,436
2021-02-05,4161,439
2021-02-06,3080,356
2021-02-07,1645,310
2021-02-08,4431,390
2021-02-09,3723,395
2021-02-10,3777,355
2021-02-11,3411,324
2021-02-12,3315,342
2021-02-13,2209,281
2021-02-14,1898,243
2021-02-15,2860,317
2021-02-16,3722,353
2021-02-17,3434,293
2021-02-18,2049,258
2021-02-19,3007,299
2021-02-20,2495,296
2021-02-21,2286,274
2021-02-22,3624,347
2021-02-23,3473,331
2021-02-24,3464,353
2021-02-25,3474,292
2021-02-26,3241,327
2021-02-27,2018,241
2021-02-28,2037,244
2021-03-01,3727,323
2021-03-02,3108,273
2021-03-03,3242,306
2021-03-04,3118,298
2021-03-05,2886,255
2021-03-06,2043,241
2021-03-07,1876,245
2021-03-08,3401,300
2021-03-09,3341,282
2021-03-10,3204,282
2021-03-11,3104,292
2021-03-12,3203,293
2021-03-13,2174,222
2021-03-14,1928,251
2021-03-15,3394,293
2021-03-16,3194,251
2021-03-17,3172,276
2021-03-18,2922,305
2021-03-19,3038,261
2021-03-20,2160,261
2021-03-21,2093,272
2021-03-22,3881,328
2021-03-23,3251,285
2021-03-24,3444,294
2021-03-25,3799,312
2021-03-26,3413,310
2021-03-27,2218,267
2021-03-28,1749,208
2021-03-29,3558,305
2021-03-30,3186,264
2021-03-31,3185,291
2021-04-01,2865,264
2021-04-02,2623,265
2021-04-03,2049,236
2021-04-04,1461,212
2021-04-05,3269,266
2021-04-06,3002,231
2021-04-07,2764,221
2021-04-08,2575,218
2021-04-09,2464,207
2021-04-10,1723,190
2021-04-11,1312,161
2021-04-12,2537,205
2021-04-13,2365,204
2021-04-14,2240,192
2021-04-15,2016,220
2021-04-16,1828,198
2021-04-17,1275,164
2021-04-18,1049,167
2021-04-19,1887,179
2021-04-20,1606,156
2021-04-21,1423,117
2021-04-22,1359,158
2021-04-23,1287,153
2021-04-24,852,101
2021-04-25,754,119
2021-04-26,1366,145
2021-04-27,1139,116
2021-04-28,1208,125
2021-04-29,1052,116
2021-04-30,950,91
2021-05-01,578,78
2021-05-02,567,72
2021-05-03,935,90
2021-05-04,874,98
2021-05-05,776,81
2021-05-06,782,82
2021-05-07,715,72
2021-05-08,384,65
2021-05-09,343,60
2021-05-10,655,70
2021-05-11,627,70
2021-05-12,594,64
2021-05-13,506,67
2021-05-14,487,69
2021-05-15,292,42
2021-05-16,279,40
2021-05-17,453,72
2021-05-18,415,52
2021-05-19,377,57
2021-05-20,397,65
2021-05-21,349,51
2021-05-22,233,38
2021-05-23,186,46
2021-05-24,355,35
2021-05-25,305,42
2021-05-26,249,33
2021-05-27,257,47
2021-05-28,210,35
2021-05-29,126,25
2021-05-30,118,27
2021-05-31,118,18
2021-06-01,289,35
2021-06-02,244,44
2021-06-03,206,29
2021-06-04,225,25
2021-06-05,143,16
2021-06-06,130,23
2021-06-07,222,32
2021-06-08,175,35
2021-06-09,210,23
2021-06-10,156,25
2021-06-11,187,22
2021-06-12,121,21
2021-06-13,114,31
2021-06-14,179,26
2021-06-15,179,25
2021-06-16,172,25
2021-06-17,187,28
2021-06-18,160,19
2021-06-19,107,13
2021-06-20,95,25
2021-06-21,168,30
2021-06-22,171,34
2021-06-23,187,24
2021-06-24,175,14
2021-06-25,180,18
2021-06-26,118,18
2021-06-27,109,22
2021-06-28,206,27
2021-06-29,212,21
2021-06-30,226,20
2021-07-01,204,31
2021-07-02,233,37
2021-07-03,146,22
2021-07-04,124,24
2021-07-05,187,16
2021-07-06,364,24
2021-07-07,402,23
2021-07-08,369,23
2021-07-09,371,35
2021-07-10,238,20
2021-07-11,272,28
2021-07-12,477,24
2021-07-13,457,27
2021-07-14,549,47
2021-07-15,552,28
2021-07-16,557,38
2021-07-17,340,39
2021-07-18,395,39
2021-07-19,813,55
2021-07-20,708,54
2021-07-21,893,48
2021-07-22,977,53
2021-07-23,916,53
2021-07-24,552,41
2021-07-25,635,41
2021-07-26,1223,63
2021-07-27,1200,71
2021-07-28,1244,77
2021-07-29,1289,76
2021-07-30,1279,78
2021-07-31,849,71
2021-08-01,830,50
2021-08-02,1569,74
2021-08-03,1583,100
2021-08-04,1612,89
2021-08-05,1525,89
2021-08-06,1577,113
2021-08-07,1148,85
2021-08-08,1072,99
2021-08-09,1892,130
2021-08-10,1666,121
2021-08-11,1753,135
2021-08-12,1757,123
2021-08-13,1599,140
2021-08-14,1049,94
2021-08-15,1143,112
2021-08-16,1929,135
2021-08-17,1741,137
2021-08-18,1814,108
2021-08-19,1692,98
2021-08-20,1559,123
2021-08-21,1090,113
2021-08-22,718,105
2021-08-23,1951,119
2021-08-24,1837,109
2021-08-25,1784,110
2021-08-26,1643,109
2021-08-27,1448,110
2021-08-28,987,87
2021-08-29,989,96
2021-08-30,1835,121
2021-08-31,1623,125
2021-09-01,1556,127
2021-09-02,1430,95
2021-09-03,1421,80
2021-09-04,905,110
2021-09-05,954,73
2021-09-06,942,78
2021-09-07,1570,110
2021-09-08,1592,100
2021-09-09,1713,103
2021-09-10,1548,99
2021-09-11,1037,84
2021-09-12,1212,90
2021-09-13,1739,104
2021-09-14,1641,84
2021-09-15,1609,95
2021-09-16,1387,86
2021-09-17,1524,90
2021-09-18,956,89
2021-09-19,1058,69
2021-09-20,1636,99
2021-09-21,1302,84
2021-09-22,1415,98
2021-09-23,1290,98
2021-09-24,1222,81
2021-09-25,814,70
2021-09-26,856,55
2021-09-27,1363,75
2021-09-28,1117,68
2021-09-29,1096,66
2021-09-30,1126,65
2021-10-01,1086,87
2021-10-02,678,66
2021-10-03,907,65
2021-10-04,1272,77
2021-10-05,1270,71
2021-10-06,1146,65
2021-10-07,1080,62
2021-10-08,1011,47
2021-10-09,610,67
2021-10-10,687,52
2021-10-11,935,55
2021-10-12,1147,52
2021-10-13,1110,77
2021-10-14,1024,50
2021-10-15,884,61
2021-10-16,488,57
2021-10-17,586,49
2021-10-18,872,59
2021-10-19,796,50
2021-10-20,797,51
2021-10-21,810,51
2021-10-22,693,46
2021-10-23,451,44
2021-10-24,444,44
2021-10-25,898,35
2021-10-26,594,43
2021-10-27,759,49
2021-10-28,737,38
2021-10-29,641,32
2021-10-30,400,30
2021-10-31,446,32
2021-11-01,780,40
2021-11-02,806,50
2021-11-03,824,54
2021-11-04,906,40
2021-11-05,768,35
2021-11-06,506,41
2021-11-07,543,34
2021-11-08,1135,44
2021-11-09,1037,35
2021-11-10,1047,46
2021-11-11,874,50
2021-11-12,1028,43
2021-11-13,613,45
2021-11-14,689,40
2021-11-15,1264,48
2021-11-16,1272,43
2021-11-17,1329,53
2021-11-18,1310,55
2021-11-19,1184,53
2021-11-20,827,47
2021-11-21,841,43
2021-11-22,1529,56
2021-11-23,1380,65
2021-11-24,1417,68
2021-11-25,531,68
2021-11-26,1172,77
2021-11-27,972,64
2021-11-28,1060,56
2021-11-29,2326,82
2021-11-30,2007,90
2021-12-01,2180,92
2021-12-02,2108,91
2021-12-03,1894,107
2021-12-04,1321,85
2021-12-05,1405,105
2021-12-06,2797,141
2021-12-07,2923,136
2021-12-08,3136,148
2021-12-09,3023,142
2021-12-10,3084,173
2021-12-11,2159,130
2021-12-12,2795,140
2021-12-13,7529,203
2021-12-14,10881,210
2021-12-15,13167,226
2021-12-16,13868,345
2021-12-17,13554,306
2021-12-18,9946,284
2021-12-19,10568,344
2021-12-20,27949,423
2021-12-21,30413,463
2021-12-22,31408,689
2021-12-23,31840,693
2021-12-24,17498,583
2021-12-25,7803,615
2021-12-26,23004,741
2021-12-27,51301,965
2021-12-28,49753,870
2021-12-29,50572,954
2021-12-30,47525,1045
2021-12-31,29188,831
2022-01-01,12069,879
2022-01-02,32550,1309
2022-01-03,55057,1139
2022-01-04,49280,1014
2022-01-05,40283,1134
2022-01-06,36400,949
2022-01-07,23222,827
2022-01-08,16206,761
2022-01-09,14363,724
2022-01-10,25068,928
2022-01-11,18545,771
2022-01-12,18446,760
2022-01-13,16100,729
2022-01-14,13293,690
2022-01-15,6760,515
2022-01-16,6892,451
2022-01-17,9834,538
2022-01-18,10923,512
2022-01-19,9036,431
2022-01-20,7044,464
2022-01-21,5798,402
2022-01-22,3633,322
2022-01-23,3399,280
2022-01-24,6016,353
2022-01-25,4762,347
2022-01-26,4196,281
2022-01-27,3633,275
2022-01-28,2725,206
2022-01-29,513,140
2022-01-30,1426,144
2022-01-31,3110,207
2022-02-01,2240,177
2022-02-02,2327,162
2022-02-03,2000,142
2022-02-04,1540,151
2022-02-05,946,117
2022-02-06,869,106
2022-02-07,1603,103
2022-02-08,1515,128
2022-02-09,1318,114
2022-02-10,1226,87
2022-02-11,983,106
2022-02-12,635,69
2022-02-13,458,55
2022-02-14,1017,77
2022-02-15,941,73
2022-02-16,936,68
2022-02-17,833,72
2022-02-18,663,61
2022-02-19,425,47
2022-02-20,383,39
2022-02-21,559,38
2022-02-22,686,54
2022-02-23,705,41
2022-02-24,660,43
2022-02-25,539,44
2022-02-26,337,29
2022-02-27,361,29
2022-02-28,706,51
2022-03-01,611,43
2022-03-02,643,42
2022-03-03,587,40
2022-03-04,461,39
